# TRAINING DATA — SYNTHETIC
accuracy,recent_accuracy,attempt_count,failure_count,avg_response_time,difficulty_adjusted_accuracy,recent_trend,prerequisite_performance,knowledge_gap
0.834,0.808,4,0,18.1,0.868,-0.026,0.845,0
0.041,0.042,6,5,112.9,0.033,0.001,0.427,1
0.802,0.917,2,1,25.0,0.864,0.115,0.86,0
0.809,0.85,1,0,15.1,0.838,0.041,0.872,0
0.864,0.889,1,0,41.9,0.907,0.025,0.938,0
0.823,0.824,2,0,18.6,0.893,0.001,0.725,0
0.757,0.775,4,0,42.8,0.82,0.018,0.856,0
0.835,0.917,5,0,43.9,0.835,0.082,0.908,0
0.83,0.897,5,0,35.8,0.844,0.067,0.935,0
0.296,0.298,4,4,112.3,0.232,0.002,0.404,1
0.774,0.804,3,1,28.6,0.784,0.03,0.794,0
0.925,0.935,5,1,36.4,1.0,0.01,0.871,0
0.281,0.204,4,4,63.6,0.237,-0.077,0.588,1
0.244,0.253,2,2,91.5,0.199,0.009,0.571,1
0.902,1.0,5,1,41.3,0.94,0.098,0.654,0
0.171,0.034,2,1,72.4,0.147,-0.137,0.592,1
0.744,0.706,3,0,37.6,0.746,-0.038,0.935,0
0.391,0.426,3,3,97.1,0.304,0.035,0.355,1
0.909,0.998,1,0,26.6,0.996,0.089,0.992,0
0.248,0.101,4,2,95.3,0.212,-0.147,0.535,1
0.973,1.0,3,0,38.3,1.0,0.027,0.753,0
0.307,0.204,3,3,88.4,0.238,-0.103,0.314,1
0.739,0.806,3,0,24.9,0.791,0.067,0.704,0
0.145,0.008,6,5,86.9,0.118,-0.137,0.279,1
0.795,0.789,2,0,38.6,0.808,-0.006,0.84,0
0.805,0.932,3,1,25.8,0.823,0.127,0.913,0
0.999,1.0,1,0,35.1,1.0,0.001,0.967,0
0.886,1.0,3,1,42.5,0.97,0.114,0.785,0
0.785,0.917,3,1,29.6,0.808,0.132,0.878,0
0.037,0.0,6,3,95.8,0.027,-0.037,0.415,1
0.308,0.367,3,3,108.9,0.27,0.059,0.471,1
0.945,0.909,2,0,28.8,0.976,-0.036,0.681,0
0.357,0.347,6,4,114.2,0.279,-0.01,0.326,1
0.795,0.823,1,0,34.2,0.844,0.028,0.915,0
0.91,0.875,5,0,23.7,0.972,-0.035,0.862,0
0.417,0.362,2,2,65.2,0.31,-0.055,0.473,1
0.955,0.964,2,1,35.3,1.0,0.009,0.928,0
0.812,0.952,5,0,18.7,0.812,0.14,0.859,0
0.984,0.995,3,0,27.4,1.0,0.011,0.829,0
0.099,0.158,3,1,66.8,0.085,0.059,0.526,1
0.98,1.0,4,0,23.7,0.987,0.02,0.684,0
0.846,0.862,2,0,18.0,0.898,0.016,0.965,0
0.203,0.207,4,4,93.0,0.165,0.004,0.282,1
0.193,0.044,3,1,101.3,0.16,-0.149,0.238,1
0.306,0.239,5,5,83.9,0.262,-0.067,0.343,1
0.29,0.16,4,2,112.9,0.214,-0.13,0.467,1
0.918,1.0,5,0,39.4,0.971,0.082,0.919,0
0.016,0.0,6,6,97.5,0.012,-0.016,0.296,1
0.877,0.998,2,1,30.0,0.885,0.121,0.777,0
0.107,0.198,6,4,104.2,0.078,0.091,0.18,1
0.87,0.994,2,1,43.2,0.874,0.124,0.917,0
0.119,0.028,3,3,114.0,0.092,-0.091,0.335,1
0.714,0.86,3,0,36.1,0.751,0.146,0.94,0
0.779,0.838,2,1,34.6,0.807,0.059,0.879,0
0.855,0.88,2,1,25.6,0.929,0.025,0.82,0
0.881,0.931,2,1,20.0,0.888,0.05,0.875,0
0.084,0.025,2,1,81.9,0.064,-0.059,0.157,1
0.844,0.912,4,0,22.3,0.855,0.068,0.857,0
0.231,0.304,3,1,65.8,0.204,0.073,0.358,1
0.991,1.0,3,0,21.5,1.0,0.009,0.815,0
0.766,0.798,2,0,33.7,0.805,0.032,0.709,0
0.977,1.0,1,0,26.3,0.99,0.023,0.656,0
0.973,1.0,2,0,20.3,1.0,0.027,0.86,0
0.859,0.959,1,0,34.8,0.936,0.1,0.839,0
0.422,0.442,5,5,79.1,0.299,0.02,0.365,1
0.361,0.408,5,4,93.3,0.306,0.047,0.481,1
0.729,0.706,4,0,42.3,0.735,-0.023,0.859,0
0.777,0.728,1,0,30.6,0.806,-0.049,0.722,0
0.823,0.794,4,1,22.8,0.867,-0.029,0.848,0
0.998,1.0,2,1,31.6,1.0,0.002,0.713,0
0.845,0.993,5,1,38.2,0.879,0.148,0.698,0
0.736,0.732,2,0,21.4,0.765,-0.004,0.768,0
0.909,1.0,2,1,43.9,0.909,0.091,0.682,0
0.417,0.376,2,2,69.4,0.299,-0.041,0.119,1
0.443,0.446,6,5,101.3,0.363,0.003,0.573,1
0.892,0.93,2,1,20.8,0.962,0.038,0.829,0
0.885,0.97,3,0,34.7,0.971,0.085,0.68,0
0.18,0.197,5,3,88.7,0.153,0.017,0.134,1
0.128,0.185,6,5,77.6,0.11,0.057,0.213,1
0.836,0.867,1,0,20.3,0.878,0.031,0.846,0
0.802,0.775,5,1,41.3,0.867,-0.027,0.851,0
0.99,1.0,2,1,43.8,1.0,0.01,0.811,0
0.708,0.681,1,0,34.0,0.778,-0.027,0.887,0
0.142,0.231,6,3,100.6,0.107,0.089,0.244,1
0.337,0.272,6,4,86.0,0.26,-0.065,0.547,1
0.426,0.447,3,2,102.9,0.318,0.021,0.221,1
0.103,0.162,6,5,65.1,0.074,0.059,0.56,1
0.899,0.972,5,0,40.4,0.932,0.073,0.76,0
0.964,1.0,3,1,20.5,1.0,0.036,0.829,0
0.338,0.22,6,6,86.1,0.273,-0.118,0.351,1
0.309,0.203,2,2,75.5,0.217,-0.106,0.437,1
0.045,0.0,4,2,90.7,0.034,-0.045,0.336,1
0.81,0.86,2,1,36.0,0.84,0.05,0.949,0
0.081,0.0,6,4,107.9,0.068,-0.081,0.502,1
0.957,0.946,2,1,39.2,0.974,-0.011,0.825,0
0.955,1.0,3,1,24.0,1.0,0.045,0.849,0
0.311,0.176,4,3,109.5,0.224,-0.135,0.472,1
0.162,0.151,4,3,56.3,0.117,-0.011,0.534,1
0.76,0.825,5,0,44.4,0.782,0.065,0.764,0
0.932,0.971,1,0,33.4,0.975,0.039,0.985,0
0.892,1.0,4,1,40.5,0.898,0.108,0.707,0
0.143,0.066,4,4,96.9,0.108,-0.077,0.322,1
0.809,0.876,4,1,20.0,0.878,0.067,0.694,0
0.113,0.149,2,1,65.8,0.081,0.036,0.132,1
0.865,0.82,4,0,18.1,0.918,-0.045,0.68,0
0.817,0.813,3,1,33.8,0.828,-0.004,0.943,0
0.299,0.364,4,3,85.4,0.261,0.065,0.567,1
0.741,0.881,5,0,32.7,0.775,0.14,0.912,0
0.83,0.908,5,1,42.3,0.87,0.078,0.729,0
0.139,0.092,3,2,55.7,0.112,-0.047,0.479,1
0.129,0.113,5,5,74.5,0.11,-0.016,0.499,1
0.939,0.999,2,1,41.5,0.98,0.06,0.737,0
0.894,1.0,2,1,17.4,0.95,0.106,0.831,0
0.884,0.973,3,1,34.5,0.931,0.089,0.744,0
0.031,0.0,2,2,95.2,0.023,-0.031,0.411,1
0.009,0.0,6,3,67.1,0.006,-0.009,0.235,1
0.918,0.915,2,0,29.8,0.949,-0.003,0.759,0
0.999,1.0,1,0,17.4,1.0,0.001,0.701,0
0.177,0.163,3,1,113.2,0.133,-0.014,0.291,1
0.439,0.468,5,5,71.1,0.395,0.029,0.2,1
0.728,0.811,2,1,26.7,0.798,0.083,0.978,0
0.328,0.364,6,3,71.5,0.271,0.036,0.199,1
0.959,0.953,1,0,34.0,0.99,-0.006,0.709,0
0.054,0.101,2,1,92.8,0.045,0.047,0.444,1
0.347,0.259,5,2,99.6,0.266,-0.088,0.585,1
0.718,0.739,2,0,18.8,0.735,0.021,0.994,0
0.927,1.0,4,0,15.6,0.962,0.073,0.904,0
0.018,0.045,6,5,90.3,0.014,0.027,0.383,1
0.797,0.841,5,0,17.1,0.809,0.044,0.753,0
0.165,0.015,6,6,102.7,0.145,-0.15,0.41,1
0.279,0.209,2,2,67.3,0.233,-0.07,0.483,1
0.127,0.079,4,2,61.3,0.106,-0.048,0.122,1
0.754,0.71,1,0,20.7,0.756,-0.044,0.875,0
0.22,0.226,6,5,58.2,0.164,0.006,0.459,1
0.414,0.428,2,2,107.1,0.295,0.014,0.379,1
0.825,0.849,1,0,30.9,0.886,0.024,0.942,0
0.097,0.077,2,1,89.6,0.072,-0.02,0.363,1
0.281,0.176,6,6,103.5,0.24,-0.105,0.388,1
0.911,0.946,1,0,38.8,0.961,0.035,0.827,0
0.86,0.93,3,1,31.5,0.946,0.07,0.946,0
0.89,1.0,3,0,31.9,0.909,0.11,0.918,0
0.776,0.918,4,1,15.0,0.779,0.142,0.75,0
0.061,0.134,2,2,119.0,0.045,0.073,0.257,1
0.983,1.0,5,0,17.8,1.0,0.017,0.705,0
0.4,0.312,4,3,61.0,0.312,-0.088,0.559,1
0.917,1.0,2,1,39.8,0.98,0.083,0.852,0
0.879,0.889,5,1,17.4,0.884,0.01,0.92,0
0.368,0.322,2,1,103.6,0.32,-0.046,0.564,1
0.89,0.851,5,0,24.6,0.94,-0.039,0.764,0
0.746,0.831,4,1,37.6,0.789,0.085,0.682,0
0.936,0.916,3,0,29.3,1.0,-0.02,0.842,0
0.179,0.138,3,1,86.3,0.132,-0.041,0.298,1
0.868,1.0,5,0,22.3,0.891,0.132,0.801,0
0.873,0.846,4,1,26.0,0.89,-0.027,0.771,0
0.931,0.915,3,1,33.7,0.972,-0.016,0.973,0
0.308,0.197,2,1,103.1,0.231,-0.111,0.411,1
0.375,0.297,4,4,107.3,0.285,-0.078,0.336,1
0.333,0.236,6,5,90.7,0.275,-0.097,0.596,1
0.9,0.925,5,0,22.7,0.905,0.025,0.72,0
0.781,0.824,1,0,26.7,0.802,0.043,0.948,0
0.959,0.913,4,0,44.4,1.0,-0.046,0.898,0
0.845,0.914,1,0,21.0,0.927,0.069,0.846,0
0.712,0.846,3,1,29.7,0.765,0.134,0.656,0
0.807,0.817,5,1,39.4,0.858,0.01,0.958,0
0.944,0.9,5,1,21.8,0.976,-0.044,0.787,0
0.328,0.308,6,4,82.1,0.267,-0.02,0.313,1
0.272,0.234,3,1,97.4,0.222,-0.038,0.442,1
0.062,0.084,6,4,83.0,0.055,0.022,0.485,1
0.869,0.851,1,0,20.5,0.942,-0.018,0.701,0
0.143,0.236,5,4,83.8,0.127,0.093,0.547,1
0.782,0.888,1,0,20.5,0.842,0.106,0.864,0
0.255,0.163,3,1,99.7,0.197,-0.092,0.444,1
0.851,0.922,3,0,40.6,0.893,0.071,0.698,0
0.015,0.056,2,2,116.8,0.011,0.041,0.436,1
0.092,0.0,5,5,99.7,0.08,-0.092,0.544,1
0.933,1.0,4,1,26.8,1.0,0.067,0.85,0
0.892,0.983,1,0,28.5,0.966,0.091,0.665,0
0.856,0.885,1,0,30.5,0.91,0.029,0.667,0
0.179,0.105,4,3,65.8,0.136,-0.074,0.56,1
0.971,1.0,4,0,36.7,0.982,0.029,0.923,0
0.909,0.886,4,1,28.5,0.925,-0.023,0.857,0
0.761,0.802,3,1,35.8,0.83,0.041,0.929,0
0.737,0.71,4,1,17.6,0.789,-0.027,0.904,0
0.884,0.866,5,1,16.3,0.899,-0.018,0.767,0
0.959,0.941,2,0,38.1,0.964,-0.018,0.758,0
0.988,0.996,2,0,42.0,1.0,0.008,0.651,0
0.704,0.754,4,0,33.2,0.739,0.05,0.726,0
0.836,0.874,5,0,22.3,0.882,0.038,0.867,0
0.948,0.908,2,0,34.6,0.951,-0.04,0.949,0
0.951,0.961,1,0,18.3,1.0,0.01,0.706,0
0.297,0.322,6,4,117.8,0.252,0.025,0.28,1
0.346,0.277,5,2,104.3,0.301,-0.069,0.132,1
0.737,0.859,3,1,30.7,0.788,0.122,0.864,0
0.328,0.335,2,2,102.1,0.269,0.007,0.494,1
0.828,0.948,3,1,42.8,0.879,0.12,0.824,0
0.849,0.961,5,0,36.3,0.932,0.112,0.651,0
0.281,0.16,3,3,119.9,0.22,-0.121,0.267,1
0.891,0.843,2,1,22.6,0.897,-0.048,0.755,0
0.93,0.903,3,1,26.9,0.983,-0.027,0.986,0
0.758,0.875,4,1,38.9,0.807,0.117,0.819,0
0.968,1.0,3,1,38.5,1.0,0.032,0.91,0
0.79,0.885,3,0,21.2,0.844,0.095,0.93,0
0.806,0.95,3,0,25.2,0.836,0.144,0.837,0
0.273,0.17,2,2,100.8,0.208,-0.103,0.116,1
0.849,0.847,4,1,21.5,0.875,-0.002,0.689,0
0.933,1.0,4,0,39.0,1.0,0.067,0.704,0
0.218,0.286,4,3,64.3,0.191,0.068,0.511,1
0.903,0.88,1,0,26.6,0.981,-0.023,0.691,0
0.02,0.082,2,2,85.3,0.014,0.062,0.36,1
0.794,0.86,3,0,24.6,0.809,0.066,0.747,0
0.199,0.078,3,1,72.8,0.14,-0.121,0.411,1
0.762,0.782,3,1,19.2,0.816,0.02,0.749,0
0.032,0.035,4,4,83.8,0.023,0.003,0.335,1
0.732,0.693,4,1,20.4,0.776,-0.039,0.857,0
0.91,0.983,3,1,39.5,0.975,0.073,0.885,0
0.992,1.0,4,0,17.8,1.0,0.008,0.895,0
0.14,0.151,5,5,70.1,0.104,0.011,0.531,1
0.974,1.0,3,1,28.6,0.977,0.026,0.816,0
0.208,0.101,4,4,92.4,0.167,-0.107,0.303,1
0.732,0.793,1,0,31.0,0.761,0.061,0.795,0
0.864,1.0,4,0,25.2,0.934,0.136,0.857,0
0.831,0.938,5,0,20.2,0.887,0.107,0.909,0
0.951,0.924,5,1,24.8,0.96,-0.027,0.806,0
0.183,0.183,6,6,76.3,0.152,0.0,0.131,1
0.063,0.058,2,1,98.0,0.05,-0.005,0.246,1
0.834,0.825,3,1,32.1,0.91,-0.009,0.757,0
0.83,0.977,3,0,32.5,0.881,0.147,0.829,0
0.956,0.918,5,0,15.0,1.0,-0.038,0.993,0
0.127,0.0,5,5,95.6,0.107,-0.127,0.303,1
0.763,0.748,2,0,31.7,0.827,-0.015,0.776,0
0.787,0.912,2,0,15.3,0.838,0.125,0.7,0
0.897,1.0,2,0,19.1,0.969,0.103,0.951,0
0.909,1.0,5,0,28.6,0.948,0.091,0.937,0
0.102,0.058,2,2,110.0,0.076,-0.044,0.351,1
0.864,0.887,1,0,36.1,0.874,0.023,0.819,0
0.743,0.839,3,1,30.5,0.782,0.096,0.864,0
0.284,0.3,2,2,94.8,0.25,0.016,0.368,1
0.204,0.281,6,5,82.4,0.182,0.077,0.499,1
0.016,0.097,4,4,106.0,0.012,0.081,0.415,1
0.872,0.953,3,0,23.6,0.879,0.081,0.827,0
0.783,0.76,3,1,40.7,0.784,-0.023,0.689,0
0.266,0.154,5,4,107.5,0.2,-0.112,0.45,1
0.94,1.0,3,0,44.0,0.996,0.06,0.938,0
0.926,0.959,4,0,34.8,0.993,0.033,0.709,0
0.953,0.914,3,0,16.6,0.997,-0.039,0.817,0
0.984,1.0,2,1,35.5,1.0,0.016,0.742,0
0.83,0.838,4,1,35.4,0.91,0.008,0.889,0
0.413,0.422,5,4,76.8,0.311,0.009,0.149,1
0.817,0.922,2,0,30.6,0.872,0.105,0.998,0
0.005,0.0,2,1,81.7,0.004,-0.005,0.443,1
0.326,0.239,2,1,95.3,0.232,-0.087,0.397,1
0.765,0.835,1,0,17.6,0.811,0.07,0.782,0
0.894,1.0,2,0,35.9,0.917,0.106,0.813,0
0.892,1.0,3,1,35.8,0.952,0.108,0.92,0
0.351,0.27,2,2,80.3,0.316,-0.081,0.229,1
0.753,0.717,2,1,20.4,0.79,-0.036,0.7,0
0.766,0.845,4,1,18.1,0.772,0.079,0.85,0
0.201,0.275,3,3,96.6,0.178,0.074,0.432,1
0.315,0.391,6,3,88.5,0.28,0.076,0.345,1
0.953,1.0,1,0,15.1,1.0,0.047,0.936,0
0.87,1.0,3,1,35.5,0.905,0.13,0.871,0
0.727,0.784,3,0,40.2,0.782,0.057,0.751,0
0.25,0.342,3,2,100.2,0.22,0.092,0.415,1
0.038,0.046,3,1,57.3,0.027,0.008,0.598,1
0.175,0.223,4,3,89.7,0.152,0.048,0.325,1
0.711,0.672,1,0,18.5,0.768,-0.039,0.884,0
0.903,1.0,2,0,42.7,0.906,0.097,0.7,0
0.841,0.975,1,0,36.0,0.852,0.134,0.71,0
0.138,0.186,5,3,109.3,0.098,0.048,0.509,1
0.268,0.272,2,1,82.7,0.231,0.004,0.591,1
0.797,0.942,5,0,24.6,0.874,0.145,0.725,0
0.078,0.0,4,2,104.2,0.057,-0.078,0.285,1
0.11,0.105,3,1,106.4,0.091,-0.005,0.288,1
0.396,0.266,2,1,115.2,0.333,-0.13,0.397,1
0.312,0.36,5,3,68.4,0.258,0.048,0.362,1
0.981,1.0,1,0,36.5,1.0,0.019,0.681,0
0.79,0.824,5,0,20.8,0.868,0.034,0.992,0
0.959,1.0,5,0,28.9,1.0,0.041,0.723,0
0.051,0.0,5,5,66.5,0.043,-0.051,0.122,1
0.786,0.823,3,1,16.3,0.844,0.037,0.974,0
0.353,0.324,2,1,113.2,0.298,-0.029,0.396,1
0.089,0.108,4,2,105.6,0.068,0.019,0.149,1
0.961,0.986,2,0,29.1,1.0,0.025,0.962,0
0.418,0.382,5,4,63.9,0.353,-0.036,0.416,1
0.761,0.736,5,0,23.4,0.769,-0.025,0.813,0
0.928,0.922,3,0,38.7,0.987,-0.006,0.864,0
0.437,0.501,2,2,110.7,0.349,0.064,0.598,1
0.951,0.957,4,0,22.4,0.992,0.006,0.728,0
0.984,1.0,1,0,44.4,0.988,0.016,0.815,0
0.71,0.766,4,0,28.6,0.727,0.056,0.845,0
0.329,0.416,3,2,74.2,0.273,0.087,0.145,1
0.791,0.882,5,0,44.3,0.828,0.091,0.699,0
0.755,0.879,4,0,40.8,0.76,0.124,0.963,0
0.015,0.0,4,4,116.5,0.012,-0.015,0.497,1
0.724,0.85,1,0,41.6,0.732,0.126,0.778,0
0.81,0.795,5,0,31.8,0.873,-0.015,0.698,0
0.243,0.255,6,4,104.0,0.207,0.012,0.26,1
0.851,0.886,1,0,26.2,0.89,0.035,0.826,0
0.841,0.897,5,1,28.6,0.872,0.056,0.886,0
0.993,1.0,2,1,17.6,1.0,0.007,0.713,0
0.723,0.706,1,0,29.9,0.786,-0.017,0.832,0
0.788,0.932,5,0,29.2,0.821,0.144,0.908,0
0.085,0.0,3,3,96.9,0.066,-0.085,0.271,1
0.798,0.867,5,1,28.7,0.843,0.069,0.964,0
0.355,0.262,4,3,105.0,0.252,-0.093,0.277,1
0.75,0.885,5,1,20.5,0.763,0.135,0.898,0
0.938,0.92,1,0,44.8,0.992,-0.018,0.804,0
0.092,0.119,4,3,64.6,0.073,0.027,0.588,1
0.736,0.691,4,0,43.4,0.804,-0.045,0.705,0
0.864,0.915,3,1,41.9,0.948,0.051,0.914,0
0.9,1.0,4,1,35.7,0.966,0.1,0.965,0
0.248,0.175,5,3,84.0,0.178,-0.073,0.128,1
0.875,0.869,3,0,15.7,0.922,-0.006,0.806,0
0.726,0.778,2,1,24.5,0.77,0.052,0.98,0
0.808,0.788,4,1,26.6,0.809,-0.02,0.771,0
0.201,0.191,3,3,112.7,0.171,-0.01,0.308,1
0.749,0.845,4,1,19.2,0.793,0.096,0.68,0
0.214,0.281,4,2,115.7,0.175,0.067,0.288,1
0.287,0.205,3,3,85.0,0.233,-0.082,0.557,1
0.375,0.297,5,2,108.5,0.285,-0.078,0.393,1
0.922,0.917,1,0,22.9,1.0,-0.005,0.942,0
0.896,1.0,4,0,29.8,0.958,0.104,0.736,0
0.125,0.224,2,2,92.8,0.102,0.099,0.534,1
0.843,0.932,1,0,30.4,0.891,0.089,0.946,0
0.026,0.0,3,2,65.6,0.02,-0.026,0.31,1
0.807,0.815,5,0,30.4,0.869,0.008,0.714,0
0.339,0.325,4,4,107.0,0.256,-0.014,0.449,1
0.24,0.178,3,1,63.9,0.182,-0.062,0.489,1
0.976,0.959,2,0,30.1,1.0,-0.017,0.928,0
0.907,1.0,5,0,27.5,0.99,0.093,0.691,0
0.008,0.0,4,2,108.1,0.007,-0.008,0.399,1
0.803,0.895,1,0,21.7,0.872,0.092,0.7,0
0.056,0.0,2,2,99.9,0.048,-0.056,0.139,1
0.927,0.886,1,0,38.8,0.975,-0.041,0.671,0
0.114,0.0,2,1,105.9,0.101,-0.114,0.203,1
0.755,0.775,1,0,40.4,0.826,0.02,0.982,0
0.072,0.047,6,4,87.8,0.051,-0.025,0.51,1
0.859,0.952,3,0,42.0,0.905,0.093,0.991,0
0.096,0.072,5,4,100.4,0.071,-0.024,0.437,1
0.376,0.471,5,3,88.4,0.294,0.095,0.481,1
0.21,0.19,5,4,100.8,0.17,-0.02,0.12,1
0.052,0.0,6,5,99.7,0.045,-0.052,0.213,1
0.995,1.0,1,0,43.2,1.0,0.005,0.654,0
0.902,0.931,5,0,18.6,0.938,0.029,0.893,0
0.922,1.0,2,0,25.9,0.94,0.078,0.72,0
0.821,0.818,4,1,23.4,0.88,-0.003,0.854,0
0.355,0.366,5,4,85.9,0.291,0.011,0.302,1
0.784,0.888,1,0,22.5,0.823,0.104,0.87,0
0.045,0.0,2,2,99.1,0.04,-0.045,0.291,1
0.746,0.82,1,0,34.8,0.785,0.074,0.822,0
0.788,0.838,5,1,31.3,0.852,0.05,0.839,0
0.344,0.442,2,2,84.3,0.299,0.098,0.321,1
0.08,0.095,4,4,65.7,0.063,0.015,0.256,1
0.344,0.336,5,5,85.9,0.3,-0.008,0.353,1
0.223,0.316,6,5,104.8,0.169,0.093,0.131,1
0.738,0.761,5,0,38.0,0.784,0.023,0.783,0
0.998,1.0,1,0,22.4,1.0,0.002,0.857,0
0.72,0.731,3,0,15.6,0.743,0.011,0.811,0
0.87,1.0,3,0,35.9,0.921,0.13,0.995,0
0.176,0.169,5,2,99.9,0.13,-0.007,0.348,1
0.9,0.883,3,1,44.1,0.918,-0.017,0.872,0
0.723,0.843,2,1,23.0,0.744,0.12,0.851,0
0.887,1.0,5,0,32.8,0.911,0.113,0.848,0
0.828,0.847,1,0,30.1,0.853,0.019,0.882,0
0.186,0.099,6,6,98.7,0.151,-0.087,0.54,1
0.855,0.842,4,0,34.8,0.925,-0.013,0.978,0
0.287,0.339,5,2,88.9,0.222,0.052,0.174,1
0.308,0.233,5,5,75.7,0.267,-0.075,0.132,1
0.186,0.242,3,2,99.6,0.139,0.056,0.219,1
0.012,0.061,4,3,86.5,0.011,0.049,0.311,1
0.761,0.766,1,0,38.7,0.782,0.005,0.843,0
0.713,0.807,1,0,40.8,0.719,0.094,0.861,0
0.97,1.0,3,0,26.9,1.0,0.03,0.945,0
0.257,0.232,2,2,87.3,0.185,-0.025,0.4,1
0.794,0.91,4,0,43.1,0.811,0.116,0.687,0
0.124,0.076,6,3,86.9,0.096,-0.048,0.574,1
0.191,0.212,4,2,78.6,0.161,0.021,0.511,1
0.435,0.436,2,1,71.4,0.338,0.001,0.419,1
0.971,1.0,5,0,40.7,1.0,0.029,0.968,0
0.44,0.354,2,1,74.3,0.384,-0.086,0.18,1
0.795,0.907,4,0,23.2,0.801,0.112,0.923,0
0.921,1.0,3,1,41.3,0.997,0.079,0.939,0
0.852,0.872,5,1,28.6,0.854,0.02,0.668,0
0.889,0.997,2,0,27.0,0.945,0.108,0.76,0
0.071,0.05,3,3,99.6,0.061,-0.021,0.26,1
0.921,0.923,5,1,39.0,0.939,0.002,0.795,0
0.394,0.48,6,4,56.3,0.278,0.086,0.379,1
0.769,0.737,4,0,22.9,0.835,-0.032,0.667,0
0.88,0.86,3,0,43.4,0.89,-0.02,0.902,0
0.976,1.0,4,0,21.7,0.996,0.024,0.981,0
0.78,0.879,4,0,27.9,0.796,0.099,0.725,0
0.918,0.906,2,1,38.8,0.921,-0.012,0.992,0
0.203,0.115,6,6,60.6,0.161,-0.088,0.536,1
0.819,0.811,4,1,37.1,0.84,-0.008,0.683,0
0.15,0.059,4,4,116.1,0.134,-0.091,0.399,1
0.714,0.715,5,1,24.1,0.742,0.001,0.78,0
0.868,0.934,3,0,30.1,0.949,0.066,0.957,0
0.143,0.126,3,2,62.6,0.101,-0.017,0.164,1
0.95,1.0,4,1,42.1,0.975,0.05,0.94,0
0.855,0.892,2,1,37.1,0.897,0.037,0.983,0
0.977,1.0,4,0,20.7,0.982,0.023,0.714,0
0.749,0.792,1,0,16.2,0.776,0.043,0.898,0
0.848,0.967,2,0,25.5,0.865,0.119,0.749,0
0.925,1.0,5,0,32.5,1.0,0.075,0.834,0
0.825,0.79,4,0,41.6,0.827,-0.035,0.888,0
0.818,0.886,1,0,19.6,0.825,0.068,0.941,0
0.836,0.977,5,0,24.9,0.84,0.141,0.868,0
0.984,1.0,5,0,21.3,0.989,0.016,0.875,0
0.025,0.0,6,6,61.0,0.019,-0.025,0.22,1
0.82,0.774,2,0,26.7,0.853,-0.046,0.877,0
0.746,0.756,4,1,42.1,0.791,0.01,0.776,0
0.165,0.065,5,5,86.0,0.134,-0.1,0.312,1
0.943,1.0,4,1,17.8,0.991,0.057,0.991,0
0.894,0.987,4,0,23.7,0.933,0.093,0.968,0
0.745,0.721,3,0,30.7,0.767,-0.024,0.667,0
0.02,0.0,5,5,61.1,0.017,-0.02,0.384,1
0.115,0.0,6,3,62.4,0.096,-0.115,0.19,1
0.177,0.048,4,3,93.2,0.14,-0.129,0.435,1
0.78,0.923,2,0,20.6,0.838,0.143,0.861,0
0.732,0.789,1,0,18.5,0.745,0.057,0.817,0
0.961,1.0,5,1,24.1,1.0,0.039,0.866,0
0.989,1.0,3,0,18.8,0.99,0.011,0.689,0
0.437,0.502,3,2,97.2,0.363,0.065,0.318,1
0.937,0.925,3,1,19.4,0.977,-0.012,0.691,0
0.922,0.961,4,1,15.6,0.963,0.039,0.735,0
0.373,0.321,4,2,61.7,0.324,-0.052,0.316,1
0.849,0.915,5,1,16.1,0.883,0.066,0.83,0
0.981,1.0,4,0,36.4,1.0,0.019,0.798,0
0.029,0.102,5,5,62.6,0.024,0.073,0.423,1
0.831,0.813,2,1,25.3,0.85,-0.018,0.727,0
0.802,0.872,4,0,41.5,0.86,0.07,0.787,0
0.982,1.0,3,1,39.0,1.0,0.018,0.868,0
0.337,0.354,3,1,68.0,0.277,0.017,0.15,1
0.998,1.0,2,0,45.0,1.0,0.002,0.741,0
0.752,0.874,5,0,39.2,0.777,0.122,0.69,0
0.253,0.225,4,3,105.0,0.216,-0.028,0.379,1
0.956,1.0,5,0,36.2,1.0,0.044,0.803,0
0.952,0.924,1,0,39.7,0.956,-0.028,0.687,0
0.961,1.0,2,1,36.2,1.0,0.039,0.824,0
0.746,0.769,2,0,40.5,0.779,0.023,0.796,0
0.774,0.886,3,1,30.2,0.781,0.112,0.78,0
0.808,0.891,2,1,38.6,0.819,0.083,0.8,0
0.969,1.0,5,1,43.3,1.0,0.031,0.92,0
0.855,0.819,3,1,27.0,0.921,-0.036,0.802,0
0.017,0.098,3,3,58.8,0.014,0.081,0.457,1
0.856,0.865,4,1,36.6,0.883,0.009,0.77,0
0.97,1.0,2,1,28.4,0.99,0.03,0.841,0
0.896,0.985,4,0,41.4,0.904,0.089,0.838,0
0.323,0.393,6,5,68.9,0.259,0.07,0.256,1
0.286,0.142,6,5,70.7,0.244,-0.144,0.463,1
0.733,0.695,3,1,33.8,0.759,-0.038,0.667,0
0.737,0.747,1,0,25.2,0.754,0.01,0.911,0
0.914,1.0,5,0,25.5,0.94,0.086,0.925,0
0.902,0.995,5,0,18.2,0.949,0.093,0.717,0
0.836,0.815,4,1,17.5,0.841,-0.021,0.961,0
0.834,0.858,5,1,32.6,0.877,0.024,0.788,0
0.224,0.18,5,5,102.6,0.175,-0.044,0.181,1
0.845,0.887,5,0,35.8,0.883,0.042,0.661,0
